Combined Adjusted Actual Income,1 Child,2 Children,3 Children,4 Children,5 Children,6 or More Children
0-1200,*50,*55,*57,*58,*59,*60
1250,*74,*79,*81,*82,*83,*84
1300,*109,*116,*119,*121,*122,*124
1350,*144,*154,*158,*160,*162,*164
1400,*179,*191,*196,*199,*201,*204
1450,*214,*229,*235,*238,*241,*244
1500,*249,*266,*273,*277,*280,*284
1550,*284,*304,*312,*316,*320,*324
1600,*319,*341,*350,*355,*359,*364
1650,339,*379,*389,*394,*399,*404
1700,348,*416,*427,*433,*438,*444
1750,357,*454,*466,*472,*478,*484
1800,367,*491,*504,*511,*517,*524
1850,376,*529,*543,*550,*557,*564
1900,385,565,*581,*589,*596,*604
1950,394,578,*620,*628,*636,*644
2000,403,591,*658,*667,*675,*684
2050,412,604,*697,*706,*715,*724
2100,421,617,*735,*745,*754,*764
2150,430,631,762,*784,*794,*804
2200,439,644,778,*823,*833,*844
2250,448,657,794,*862,*873,*884
2300,457,670,810,*901,*912,*924
2350,466,684,826,923,*952,*964
2400,475,697,842,941,*991,*1004
2450,484,710,858,958,*1031,*1044
2500,493,723,874,976,*1070,*1084
2550,502,736,890,994,1094,*1124
2600,511,750,906,1012,1113,*1164
2650,520,763,922,1030,1133,*1204
2700,529,776,938,1048,1152,*1244
2750,538,789,954,1066,1172,1274
2800,547,803,970,1083,1192,1295
2850,556,816,986,1101,1211,1317
2900,565,829,1002,1119,1231,1338
2950,574,842,1018,1137,1251,1359
3000,583,856,1034,1155,1270,1381
3050,592,869,1050,1173,1290,1402
3100,601,882,1066,1190,1310,1423
3150,610,895,1082,1208,1329,1445
3200,619,908,1098,1226,1349,1466
3250,628,922,1114,1244,1368,1487
3300,637,935,1130,1262,1388,1509
3350,646,948,1146,1280,1408,1530
3400,655,961,1162,1298,1427,1552
3450,664,975,1178,1315,1447,1573
3500,673,988,1194,1333,1467,1594
3550,682,1001,1210,1351,1486,1616
3600,691,1014,1226,1369,1506,1637
3650,700,1027,1242,1387,1526,1658
3700,709,1041,1258,1405,1545,1680
3750,718,1054,1274,1423,1565,1701
3800,727,1067,1290,1440,1584,1722
3850,736,1080,1306,1458,1604,1744
3900,745,1094,1321,1476,1624,1765
3950,754,1107,1337,1494,1643,1786
4000,763,1120,1353,1512,1663,1808
4050,772,1133,1369,1530,1683,1829
4100,781,1146,1385,1548,1702,1850
4150,790,1160,1401,1565,1722,1872
4200,799,1173,1417,1583,1742,1893
4250,808,1185,1432,1600,1760,1913
4300,815,1197,1446,1615,1777,1931
4350,823,1208,1460,1631,1794,1950
4400,831,1219,1474,1646,1811,1968
4450,839,1231,1487,1661,1828,1987
4500,846,1242,1501,1677,1844,2005
4550,854,1254,1515,1692,1861,2023
4600,862,1265,1529,1708,1878,2042
4650,870,1276,1542,1723,1895,2060
4700,877,1288,1556,1738,1912,2079
4750,885,1299,1570,1754,1929,2097
4800,893,1311,1584,1769,1946,2115
4850,901,1322,1598,1785,1963,2134
4900,909,1334,1611,1800,1980,2152
4950,916,1345,1625,1815,1997,2171
5000,924,1356,1639,1831,2014,2189
5050,932,1368,1653,1846,2031,2207
5100,940,1379,1667,1862,2048,2226
5150,947,1391,1680,1877,2065,2244
5200,955,1402,1694,1892,2082,2263
5250,963,1413,1708,1908,2098,2281
5300,971,1425,1722,1923,2115,2299
5350,978,1436,1735,1938,2132,2318
5400,984,1444,1744,1948,2143,2329
5450,987,1446,1746,1950,2145,2332
5500,990,1449,1748,1953,2148,2335
5550,993,1452,1751,1956,2151,2338
5600,996,1455,1753,1958,2154,2341
5650,999,1457,1755,1961,2157,2344
5700,1002,1460,1758,1963,2160,2347
5750,1006,1463,1760,1966,2162,2351
5800,1009,1466,1762,1968,2165,2354
5850,1012,1468,1765,1971,2168,2357
5900,1015,1471,1767,1974,2171,2360
5950,1018,1474,1769,1976,2174,2363
6000,1021,1477,1771,1979,2176,2366
6050,1024,1480,1774,1982,2180,2370
6100,1028,1485,1780,1988,2187,2378
6150,1032,1490,1786,1995,2195,2386
6200,1036,1495,1792,2002,2202,2394
6250,1040,1500,1798,2008,2209,2401
6300,1045,1505,1804,2015,2217,2409
6350,1049,1510,1810,2022,2224,2417
6400,1053,1515,1816,2028,2231,2425
6450,1057,1521,1822,2035,2238,2433
6500,1061,1526,1828,2042,2246,2441
6550,1065,1531,1834,2048,2253,2449
6600,1069,1536,1840,2055,2260,2457
6650,1073,1541,1846,2062,2268,2465
6700,1077,1546,1852,2068,2275,2473
6750,1083,1554,1861,2079,2287,2486
6800,1090,1563,1872,2091,2300,2500
6850,1096,1571,1882,2102,2312,2513
6900,1103,1580,1892,2114,2325,2527
6950,1110,1588,1903,2125,2338,2541
7000,1116,1597,1913,2137,2350,2555
7050,1123,1605,1923,2148,2363,2569
7100,1129,1614,1934,2160,2376,2582
7150,1136,1622,1944,2171,2388,2596
7200,1142,1631,1954,2183,2401,2610
7250,1149,1639,1965,2194,2414,2624
7300,1156,1648,1975,2206,2427,2638
7350,1162,1656,1985,2217,2439,2651
7400,1168,1664,1994,2228,2450,2664
7450,1172,1671,2002,2237,2460,2674
7500,1177,1678,2010,2246,2470,2685
7550,1181,1685,2018,2255,2480,2696
7600,1186,1692,2027,2264,2490,2707
7650,1190,1699,2035,2273,2500,2717
7700,1195,1706,2043,2282,2510,2728
7750,1199,1714,2051,2291,2520,2739
7800,1204,1721,2059,2300,2530,2750
7850,1208,1728,2067,2309,2539,2760
7900,1213,1735,2075,2317,2549,2771
7950,1217,1742,2082,2326,2559,2781
8000,1221,1748,2090,2335,2568,2792
8050,1226,1755,2098,2343,2577,2801
8100,1228,1757,2100,2346,2581,2805
8150,1230,1759,2103,2349,2584,2809
8200,1233,1762,2106,2352,2587,2812
8250,1235,1764,2108,2355,2591,2816
8300,1237,1766,2111,2358,2594,2820
8350,1240,1768,2114,2361,2597,2823
8400,1242,1771,2117,2364,2601,2827
8450,1244,1773,2119,2367,2604,2831
8500,1247,1775,2122,2370,2607,2834
8550,1249,1777,2125,2373,2611,2838
8600,1251,1780,2127,2376,2614,2841
8650,1254,1782,2130,2379,2617,2845
8700,1256,1784,2133,2382,2621,2849
